¤é´Á,¦a°Ï,½T¶E¤H¼Æ,ªvÂ¡¤H¼Æ,¦º¤`¤H¼Æ,·s¼W½T¶E,·s¼WªvÂ¡,·s¼W¦º¤`,²{¦³½T¶E,ÂX´²«ü¼Æ
2020/1/21,¶k¦{,0,0,0,0,0,0,0,0
2020/1/22,¶k¦{,0,0,0,0,0,0,0,0
2020/1/23,¶k¦{,0,0,0,0,0,0,0,0
2020/1/24,¶k¦{,1,0,0,1,0,0,1,0
2020/1/25,¶k¦{,1,0,0,0,0,0,1,0
2020/1/26,¶k¦{,20,0,0,19,0,0,20,19
2020/1/27,¶k¦{,57,0,0,37,0,0,57,1.85
2020/1/28,¶k¦{,84,0,1,27,0,1,83,0.473684211
2020/1/29,¶k¦{,123,0,2,39,0,1,121,0.469879518
2020/1/30,¶k¦{,189,0,6,66,0,4,183,0.545454545
2020/1/31,¶k¦{,227,0,9,38,0,3,218,0.207650273
2020/2/1,¶k¦{,278,0,13,51,0,4,265,0.233944954
2020/2/2,¶k¦{,306,2,15,28,2,2,289,0.105660377
2020/2/3,¶k¦{,332,4,18,26,2,3,310,0.089965398
2020/2/4,¶k¦{,382,6,18,50,2,0,358,0.161290323
2020/2/5,¶k¦{,423,8,18,41,2,0,397,0.11452514
2020/2/6,¶k¦{,471,9,18,48,1,0,444,0.120906801
2020/2/7,¶k¦{,569,11,20,98,2,2,538,0.220720721
2020/2/8,¶k¦{,639,42,21,70,31,1,576,0.130111524
2020/2/9,¶k¦{,725,48,24,86,6,3,653,0.149305556
2020/2/10,¶k¦{,790,61,26,65,13,2,703,0.099540582
2020/2/11,¶k¦{,861,72,28,71,11,2,761,0.100995733
2020/2/12,¶k¦{,1056,95,30,195,23,2,931,0.256241787
2020/2/13,¶k¦{,1125,116,32,69,21,2,977,0.074113856
2020/2/14,¶k¦{,1192,199,33,67,83,1,960,0.068577277
2020/2/15,¶k¦{,1230,222,34,38,23,1,974,0.039583333
2020/2/16,¶k¦{,1274,244,35,44,22,1,995,0.045174538
2020/2/17,¶k¦{,1339,265,36,65,21,1,1038,0.065326633
2020/2/18,¶k¦{,1343,301,37,4,36,1,1005,0.003853565
2020/2/19,¶k¦{,1368,350,38,25,49,1,980,0.024875622
2020/2/20,¶k¦{,1373,375,39,5,25,1,959,0.005102041
2020/2/21,¶k¦{,1375,386,39,2,11,0,950,0.002085506
2020/1/21,®¦¬I¦{,0,0,0,0,0,0,0,0
2020/1/22,®¦¬I¦{,0,0,0,0,0,0,0,0
2020/1/23,®¦¬I¦{,0,0,0,0,0,0,0,0
2020/1/24,®¦¬I¦{,11,0,0,11,0,0,11,0
2020/1/25,®¦¬I¦{,17,0,0,6,0,0,17,0.545454545
2020/1/26,®¦¬I¦{,25,0,0,8,0,0,25,0.470588235
2020/1/27,®¦¬I¦{,38,0,0,13,0,0,38,0.52
2020/1/28,®¦¬I¦{,51,0,0,13,0,0,51,0.342105263
2020/1/29,®¦¬I¦{,66,0,0,15,0,0,66,0.294117647
2020/1/30,®¦¬I¦{,75,0,0,9,0,0,75,0.136363636
2020/1/31,®¦¬I¦{,87,0,0,12,0,0,87,0.16
